Oilseed Rape,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
hectares,,,,,,,,,,,,,,,,,,,,
Areas (1) (2),2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,% change 2025/2024,2025 confidence interval
United Kingdom,598154.3963098765,569921.4695,641562.0990596007,704559.33,755716.6067807096,715218.0591443997,674580.3400440005,652163.7999550003,579170.099997,562398.8541389656,583271.3600000001,529697.96,379651.45,307482.09,364801.1520366701,391158.07000000024,293231.28350000095,[x],[x],[x]
England,560939.9963098764,536261.4295,599674.9990596008,660379,712671.0067807096,676413.9891443998,631580.0000440006,610946.9999550002,542806.999997,523124.0000420001,545068.0000000001,492077,344913,268410,322786.00203667005,342372.00000000023,249758.000000001,203587.99928059915,-18.48589463376611,8379.68208
North East,27089.825775716417,20255.77029525784,25870,28060.07361710184,29335.33919700001,24717,24051.284914681415,24256.727232235757,23506.165564904495,23662.676318740047,24621.50996900002,23699.066896322154,18203.339399277,16578.486356609992,20715.411684865416,23213.721745040646,15085.446269546877,12526.4711726201,-16.963204476705503,1316.16378771113
North West & Merseyside,3953.484012214185,4107.226936965558,5224,5921.905372440563,6232.120259439998,5665,5092.000089375609,5877.018722989476,4963.499593562034,6236.0648784748455,5620.745853,5344.209084698323,4813.48950009168,3584.3641176500005,4673.226221577662,5456.302253870933,3881.7798144947865,2840.61160274534,-26.821928638550403,1348.65074658681
Yorkshire & the Humber,78944.29872106909,75316.54231327318,86376,93155.10365599974,99634.02321950035,91209,85002.79094409778,82687.37888440157,74307.69741765624,76071.4716938522,73857.60861600011,65996.53465641872,51334.574611303,42209.71132804002,54627.62900152084,57927.34201148485,38333.80257516599,32018.3692727586,-16.474841727542998,2275.52466065136
East Midlands,138780.36703480914,135239.13935507598,151576,168352.51664209602,181161.78634080006,164615,158043.24076324713,153686.79381310893,139412.10673382453,137755.6497352086,140607.01610400013,124137.15348666326,74471.4937352785,50183.48154786999,62230.11163461594,71948.827199384,47276.72265287784,35828.5878270228,-24.215161676733,4863.48418596652
West Midlands,42549.43586534198,41843.98793659728,50212,55680.56705454752,61663.46552910003,63116,51681.45121411693,49481.238458557404,49075.101612481536,52798.40380048658,54048.003998999935,49990.766173305296,36823.5159188547,28886.023927720893,36452.13163196757,41263.798856046305,30198.619353832673,23991.879068891,-20.5530597681245,2405.52349237645
Eastern,131737.04946997995,133837.42742804583,140961,154687.38143353755,168241.45663419992,164951,159393.70398936624,151169.90304461744,129945.82084849488,101791.49130847208,114528.97112299998,108800.46654204623,82289.8356535079,66593.59873814795,70308.73531743842,61814.753381533905,51228.32421144664,42889.4723847735,-16.2778149686378,3486.8675981672
