Oats,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29
hectares,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Areas (1),1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,% change 2025/2024,2025 confidence interval
United Kingdom,92128.2,108893.91,112308,125546.10998399997,121432.570986,107845.87443600004,90366.06292199998,121497.12816400001,129382.4992841394,135021.87776445775,129106.11230000001,124459.15590452903,108603.585849175,121923.701984842,176540.55675183007,137233.16996600002,131127.000053,140896.200029,161049.6566979335,171171.08000000005,181517.56,210009.04,199584.45,175535.27,166539.43,182045.686,[x],[x],[x]
England,63396.2,80047,85026,97675.99998399997,93108.999986,79960.89743600004,65535.100921999976,93048.828164,102460.9992841394,106575.57776445776,100617.5123,94736.99990452902,80459.999849175,92142.001984842,138398.00675183005,104701.999966,98224.000053,102404.000029,120904.00001999998,132229.00000000003,142850,169362,158983,139924,134063,148477,162476.25275147657,9.42856654665451,7961.324
North East,3980.478733952433,4470.99484631419,4622.947748133862,5496.467202000001,5334.170211000002,4653.385112,3859.618966999999,5518.645093000005,6201.635176460002,6001.770946,6909.5686,6824.5345,5932.029335380931,6728.958153900002,11299.933394834,8778.349556806177,7799.812448137033,8278.817807493839,9845.48153720471,10859.165338999996,11386.662585762868,12611.379770184172,11454.536073860003,9316.497931636886,8514.729181759281,8628.908676796314,9610.64316598887,11.3772729085951,714.607100606127
North West and Merseyside,2562.041316856304,2961.525211071177,3444.6882388656736,3851.8940949999997,4025.2578689999987,3655.6524190000005,3018.1826360000005,4481.329682000002,5130.997228005999,5068.51154051684,4706.5453,3922.2679,3551.4599037743433,4493.525933707,6797.55200727251,4847.631990757285,4609.002786736341,4709.133724715203,5382.403604276673,6098.471077739996,5995.345415341721,6765.982204671579,5907.732625279999,5067.765214867467,4687.6601133141385,4975.179301121416,5347.7698378822,7.48898711402827,926.535831589768
Yorkshire & The Humber,4107.579219921576,4969.616947678348,5184.746740955034,5598.327834999996,5473.8794250000055,4926.944857999998,4062.512210000003,6150.601936999995,6759.232447598001,7558.8821576788505,7775.7723,8288.0719,6784.515589679237,7509.096093279997,11811.5071815564,8535.345946918644,7995.347135844162,8227.982057706347,9489.931297212117,10468.993109000001,11508.813485649387,15299.03809963916,14283.179275989996,10350.848807176577,9835.006424150437,11295.492550663766,12302.6781477082,8.91670365437307,1626.97699937617
East Midlands,6785.002538225043,9256.666749978744,10356.334226222365,11714.780724000007,11211.141572000008,9753.340949999996,7775.704657999998,10677.280200000001,12427.264711219996,13316.658425355079,12934.9006,11299.2949,8933.152793236888,9728.377713909991,14560.2383690825,11848.916809185004,10775.656898920382,11682.986484478006,13708.715276661866,15069.143952980285,17342.809310818753,26532.655567612037,23149.856057240002,21252.340051681767,20523.415164353035,25586.698148838354,29714.6583422295,16.1332273878355,4496.6549016894
West Midlands,12651.255858329569,14817.428455743784,16398.457087753133,18172.356708,17177.566755000003,14553.755507000022,12246.472968999988,16994.013583000007,19119.36175328,20047.74530867123,18103.705,16933.142,14428.631141956343,16298.261101309985,24587.5563054503,18337.209191828068,16893.630732248115,17013.33636095367,19349.63899077729,20586.394275000017,21059.874570310953,25522.248465566016,21926.40584953447,19819.769268188407,18631.965747662856,20049.388778306966,22017.3817118034,9.81572533336159,2285.54626496104
Eastern,4494.289209146836,5772.013436573674,6089.698632094003,6670.428115,7461.012689999994,6908.660930999997,6336.088262,9195.97003399999,10109.372023250002,9662.89535760836,9441.4721,8863.4303,7632.573971507321,9136.337478259995,13255.554821051,9839.666536130728,10731.06386842679,12330.604863431869,18762.451265438296,21681.265116880004,23070.25504034775,25801.53938428275,26123.821885747584,23607.713844771264,24092.381944265966,26181.294347629053,28029.9274390339,7.060892661986539,3507.63167998528
South East and London,14986.138859836768,20171.5378428501,19024.234722668665,24183.634326999938,22138.34254899999,17687.09659300003,13754.533441999993,19399.26854699998,21236.266248480002,22103.4485865545,20168.0118,19134.744400000003,16512.285511524977,19469.764020370007,27957.4083666171,21024.994778160642,19265.584984102643,19226.57333096284,22000.276212215034,23016.982832000027,26450.838467948695,29526.66385026279,29040.775499021514,26604.386737910492,26100.526445926058,27493.16946235369,30228.4587290348,9.94897758305577,3274.32452819653
South West,13829.414263731473,17627.216509790007,19904.89260330726,21988.11097800003,20287.628914999994,17822.06106599999,14481.987777999995,20631.719088000027,21476.869695845387,22815.6654420729,20577.5366,19471.5147,16685.35175293986,18777.67758705001,28128.2490966363,21489.88178412144,20153.90114558429,20934.56537025777,22365.10181621407,24448.58429739997,26035.40112381964,27302.500411601588,27096.692733636406,23904.67346713716,21677.314978568116,24266.868734290434,25224.7353777957,3.9472197834561498,2564.41894287886
Wales,3401,3722,3269,3612.21,3519,3595.3,2930,3901,4018,4308,4136,4392,4334,4230,4442,5395,5212.000000000001,5025,5268.756677933533,4828,4880,4808,4989,4961,4373,4190,[x],[x],[x]
Scotland,22547,22182.31,21580,21907,22339.571000000004,21830.677000000003,19954.962000000003,22682,20868,21720,22299,22999.556000000004,21714.586,23672.4,31727.850000000002,25050.47,25614.9,31210,32624.6,32100.98,31919.660000000003,33983.7,33738.95,28676.94,26181.93,27590.356,[x],[x],[x]
Northern Ireland,2784,2942.6,2433,2350.9,2465,2459,1946,1865.3,2035.5,2418.3,2053.6,2330.6,2095,1879.3,1972.6999999999998,2085.7,2076.0999999999954,2257.1999999999975,2252.3,2013.1,1867.9,1855.34,1873.5,1973.33,1921.5,1788.3299999999997,[x],[x],[x]
