Spring Barley,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29
hectares,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Areas (1),1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,% change 2025/2024,2025 confidence interval
United Kingdom,630992.4,539044.68,782539,555295.9199969999,620851.7599970001,587015.3269190001,553437.559412,493781.130244,514963.30240453006,615621.1780365247,739766.9733,538630.7650156,611079.3934423001,617846.0009279,903171.3024552002,650802.440018,659353.299952,682967.5000159998,753893.8905763534,751466.9299999999,709512.8300000001,1075945.09,744853.35,680781.73,681943.8000000005,809691.6462007,[x],[x],[x]
England,300465,241288.6,449887,251964.99999699983,316939.9999970001,291439.0669190002,274215.48941199994,242771.730244,258092.00240453007,318952.6780365247,413207.9733,265551.0010156,316248.0044423001,293991.0009279,570808.0224552002,345476.0000179999,372651.99995200004,415604.0000159998,481587.00009100017,471080.99999999994,443933,791710,470929,410358,408306.0000000006,523614.000000001,439384.1959959456,-16.08623986449078,12056.69696
North East,17509.62433646844,10053.4,25566,12480.269809000009,16064.701205999998,13893.466399,12957.600181000002,11004.318129000012,10380.2298393,12496.17770535535,19503.5164,11697.6977,13431.866815536321,12478.964347000006,28547.3101427384,14742.929194338272,15069.213636581231,12271.344092485364,12514.612081185604,11510.621975,10876.045676439546,26567.244491459875,16918.950934951485,12774.41985927978,11914.694581884974,16476.860174681897,13339.78332945,-19.039287898141698,1221.7729114894
North West and Merseyside,23729.511663202597,18695.8,39520,20204.57497399993,24623.831528999955,24349.271568,23635.587319000013,20006.178903000033,21241.394553300037,25913.13257404419,33972.7238,21559.7068,25596.518529265308,24482.858773799984,42590.636519725,27047.081686019,27581.680914052686,24072.545175956304,23780.757937609444,27924.210829399988,20172.076444386166,33849.97045671533,24879.229341105347,21354.641696505798,21847.52863225532,27152.975220330984,23907.9694726034,-11.9508294078133,2342.54321634643
Yorkshire & The Humber,41224.49930095548,32662.4,73965,36050.842083999894,48930.90773700004,42913.91997200004,38576.26710300001,33239.93343800002,35362.72283095002,42149.0668923693,55475.7012,32096.0428,37852.759212767625,34925.929335999994,78000.4849647491,43571.05467586687,46176.793188148855,50046.06226805734,56484.670038759185,58940.20577100006,50746.08465855433,113871.05603289057,66959.65762718458,51865.53434059371,51188.17899148724,67995.03345266826,55336.5837295804,-18.6167269582998,4371.67177072501
East Midlands,31090.645640504208,25165.6,42674,25402.80978899997,33364.80180099997,29676.896204,29275.933338,26103.331600000016,26444.686730900023,32381.27335897373,41343.5054,26599.3727,32146.705760477158,29569.746630000005,63264.6688655343,40507.432744991194,45332.311903935224,60087.11345720883,79482.18332021308,75849.87010970006,73825.56495120203,163008.70351154823,81019.52292662718,68190.03606433318,70863.17973043142,98005.63202975318,78640.2056185471,-19.7595036225337,6150.23214804702
West Midlands,24509.82738833979,19570.2,40735,19879.697554999977,24677.56382700001,20790.651886999964,20118.519320999992,16865.84639099998,18097.604845100017,21406.90977206551,29668.7593,17772.9622,20481.409471663526,19366.88814199999,44658.9140938915,25996.475538712402,27237.403123028867,28498.232913733795,30250.688718963567,28951.15326599996,24738.19133458373,59791.09390851826,28281.850156764365,24805.592534158517,23742.60265341997,30508.935413005678,27758.5819723513,-9.01491121673786,2684.85483182356
Eastern,59832.23714430971,47667.6,84251,50503.03335200017,69723.81450100002,63498.40591699999,57423.194674000006,51660.48760699996,55054.71742512993,67621.3528788528,84012.5383,53705.1362,67017.33037500386,58374.20352400002,103797.00448319,64934.54376399183,73322.06494386385,89246.51587425014,107474.86081428315,100900.85667099994,103184.69032565018,160815.14162878843,107635.60566281297,93546.19745082564,93381.94735472495,120940.48540599873,101659.950767931,-15.9421674002239,6314.51922442071
South East and London,43422.98870687979,38133.7,60803,37213.865514999896,38348.39686300003,37424.09809600002,36872.972225000005,33621.77381999998,37441.51734044001,48209.7665491935,60190.6093,39987.820799999994,46682.39960453892,44676.773076400044,83278.63648104819,50984.5634604143,56566.96818843122,66092.94823778294,80890.39705246869,78370.05918099989,78838.43783002692,112364.80941505107,66680.26277365,62299.11231969694,61495.46380726579,74278.8653439916,62648.8731600553,-15.657202260800299,4227.07772731533
South West,59145.66581933998,49339.9,82374,50229.90691900001,61205.98253300009,58892.35687600017,55355.41525099993,50269.86035600002,54069.12883941004,68774.99830567029,89040.6196,62132.2653,73039.01023074865,70115.63710719997,126670.332212624,77691.91781326603,81365.56410195757,85289.23798052344,90708.83003651779,88634.02219689915,81551.90877915389,121441.97892432859,78553.920577134,75522.46153373652,73872.40424853083,88255.21295956966,76092.2479454271,-13.7815825335037,4283.14236045947
Wales,18794.4,15083,21254,14883.92,15356,15622.6,14196,12144,12765,14801,17923,13158,14683,14094,15428,14103,15136.000000000002,13757,14437.810485353311,15016,11542,13163,12105,12353,11062,14973.999999999998,[x],[x],[x]
Scotland,281099,255233.48,281380,263914,264919.76,257461.66,243298.07,220639,226019,262322,287011,242364.064,262948.089,289222.3,296443.88,274377.34,255878.1,238899,243837.98,250475.73,242090.02999999997,258701.81,248920.98999999996,244717.39,249462.69999999998,257506.626200699,[x],[x],[x]
Northern Ireland,30634,27439.6,30018,24533,23636,22492,21728,18226.4,18087.3,19545.5,21625,17557.7,17200.3,20210.5,20491.4,16846.1,15687.199999999983,14707.500000000013,14031.1,14894.2,11947.8,12370.28,12898.36,13353.34,13113.1,13597.02,[x],[x],[x]
tonnes/hectare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
