Total Barley,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29
hectares,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Areas (1),1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,% change 2025/2024,2025 confidence interval
United Kingdom,1179031.1,1127968.1,1244862,1100970.3197350008,1076027.759996,1007448.9597250002,937671.9290859998,881384.8464280003,897897.1013241861,1032033.3307409763,1142986.0723,921161.9612601,969755.6641826,1002183.9080801997,1212996.672624,1079825.520051,1100919.6999720002,1122408.600031,1176740.7766197978,1138141.46,1162225.71,1387521.62,1149745.98,1115836.4200000002,1136522.5799999996,1193919.094500003,[x],[x],[x]
England,774012,752167.7,847840,721963.9997350009,703149.999996,642362.1297250001,595527.3290859999,565029.7464280003,576921.0013241861,664856.0307409762,759806.4723,586025.9982600999,614502.0001826001,622787.0080801998,827707.0226240002,708703.0000509999,748463.999972,791254.000031,842460.0001960003,806735,831851,1044989,816149,782081,799288.9999999995,849088.000000003,741528.2231330802,-12.66768307488996,14975.721268907291
North East,43853.76378212351,43128.9,50375,43027.79702700001,42224.13506199999,38891.755453000005,37575.317725000015,36291.270463,35891.62763219998,40233.27402563663,46282.329,39061.6069,38524.90315676331,39954.536852000034,49679.926128906794,44168.68434625988,44827.48975611194,41019.64072872826,41545.66219294087,39058.62718200003,40285.312925797836,46986.24453007032,41478.45501029149,38824.54226770522,38096.81586131802,38292.474858540605,33732.6719166282,-11.907830347234414,1864.8425062112672
North West and Merseyside,43905.392915395976,39481.8,46342,37706.18458699995,39015.322534999956,39888.909831000004,37626.002313000005,34553.93803800001,35378.14545868003,42359.66762877463,49003.5375,36409.6877,39554.10439260902,39383.082912099984,53276.8065635737,43180.07379340055,44610.09053705772,40454.22510897196,39122.49399820193,40425.824486,36737.45329030958,43820.19200910491,38776.600726265344,36582.235398391735,37262.25080047792,39486.074313811594,36091.6709365746,-8.596456943935026,2947.404486793103
Yorkshire & The Humber,121797.02996592602,121868.1,144776,119508.94596900025,119272.53213299986,109166.24122900006,102715.81757300007,99513.97080600022,103147.29428241,115687.8368513181,130472.0405,104319.6961,103848.55498209177,106747.86029499979,133205.49375406292,120525.30376898046,125117.31079625204,121089.70104818288,125499.07880334143,123042.7436400001,122809.68925882346,158932.57838003698,128038.64619153462,117127.9488678779,121210.83733712687,127162.750717541,112769.59868857841,-11.318685658926361,5508.686480283323
East Midlands,97864.20017236896,99579.29999999999,104527,93903.87450900019,90636.11715900004,77522.4841669998,71949.82292999998,68293.25538000005,69109.64216981006,78250.17970365223,86988.8189,67814.6747,70352.47738659692,70572.79190540005,95422.7760557342,86927.53660521818,93582.89716590333,109418.45350470339,124191.17197783518,117914.96686387988,126113.7657607919,187256.7916808907,129780.05812848719,124333.92782480252,130066.13873737806,145701.20701886155,123698.9142061295,-15.100968113382768,7314.877986101123
West Midlands,74326.61039188506,71925.6,74095,65489.39014099995,61591.232002999954,52995.91118599991,50095.921588000005,46192.38618200002,47636.888063200015,52687.34668068371,61793.2583,46983.7773,47408.49664337144,48770.13518599997,67174.9015988486,59662.25755305909,62351.43557368385,63584.62817021245,62343.81696084803,59271.888692,59279.13522468732,80035.41209676642,57970.74644483437,56582.10705233271,57333.982716999104,57276.746997345675,52536.8484397592,-8.275432537755963,3602.0732759465473
Eastern,173611.3739152925,168916.8,193202,166210.78086800076,164388.4146149999,149118.31402700001,135252.93016199995,130151.37772499988,130674.22332724999,149125.67700355948,166635.6532,126370.6912,136448.6635011991,135280.05383830008,166324.2990694672,149026.49861937988,160250.12093091337,179021.05462151734,198036.7804797102,184972.1054260002,199317.78885504027,233115.74091276358,192062.26817630295,186165.56576057698,193565.96016147302,206008.08205883484,178169.56513403082,-13.513312995581265,7772.031021768056
South East and London,93869.05289548711,88659,100624,82638.87470399984,75156.57463800008,69113.62286200002,63587.877135999996,59155.28345399993,61340.89179997003,74624.6821905665,86787.3299,64928.29849999999,69653.57573859495,70921.58028340005,103606.61440122477,80817.43516155616,88282.71754054994,102508.08644801879,115518.64159409962,110699.93073199989,117317.6236575165,139629.3561504754,103722.05750815,98303.50044487126,98533.88967253706,105520.19620239639,89277.6628909533,-15.39281947532449,5163.641475774267
South West,124784.57596152085,118608.20000000001,133900,113478.15192999999,110865.67185100017,105664.89097000024,96723.63965899992,90878.26438000015,93742.28859066605,111887.3666567849,131843.505,100137.56899999999,108711.22419877397,111156.95183499997,159016.1704064824,124395.21333014584,129441.93769952825,134158.21036966378,136202.35399302313,131348.9129781191,129990.23102702611,155212.68641269213,124320.16781429402,124161.1696938716,123219.12471269188,129640.4678326684,115251.2909204262,-11.0992941886131,5275.751191942295
Wales,29629.100000000002,26168,27424,25403.620000000003,24554,24265.800000000003,21766,19129,19515,21549,24275,20437,22780,21825,20394,20683,22062,21889,21788.676423797675,22686,19795,20636,20587,21422,19960,24013,[x],[x],[x]
Scotland,339678,316991.4,336800,325148,320568.76,313810.03,294638.6,274401,278644,319934,332160,290374.063,308425.06399999995,332038.7,339138.35,326884.32,307685.9,286930,291346.7,288017.46,290892.50999999995,301792.62,292167.24,290376.12,295820.76,300380.31449999986,[x],[x],[x]
Northern Ireland,35712,32641,32798,28454.7,27755,27011,25740,22825.100000000002,22817.1,25694.3,26744.6,24324.9,24048.6,25533.2,25757.300000000003,23555.199999999997,22707.79999999998,22335.600000000013,21145.4,20703,19687.199999999997,20104,20842.74,21957.3,21452.82,20437.78,[x],[x],[x]
