Wheat,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29
hectares,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Areas (1),1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,% change 2025/2024,2025 confidence interval
United Kingdom,1846874.1002758103,2085989.79,1634996,1995868.400020998,1835762.0000519995,1989774.104223,1867228.0643179985,1832967.4137399993,1815881.689317199,2080209.2666048175,1775336.9101,1938577.3710535006,1969382.5473166003,1991875.0959122,1614511.386182901,1935736.7199950004,1832311.7999700005,1823336.5999200002,1791830.2948665605,1747673.4300000002,1815768.5799999998,1387165.1199999999,1790394.75,1813147.3399999999,1719893.71999999,1530771.1670000101,[x],[x],[x]
England,1746214.0002758102,1956758.5,1540554,1876153.0000209978,1726495.0000519995,1864591.0042229998,1748414.0643179985,1709042.1137399992,1690983.989317199,1934707.6666048174,1653087.1101,1791900.0010535005,1816560.0073166003,1856228.9959121998,1504570.9861829008,1796729.9999950004,1692938.9999700005,1683716.99992,1652143.0000589995,1618871,1676833,1265111,1654867,1667962,1579617.9999999928,1401946.00000001,1525136.83997188,8.78713159935326,20924.87964
North East,63562.91617581025,76302.8,54235,70182.82089899991,66112.75819700002,70781.32856399991,68056.58271499998,65912.12807800013,65545.09575399997,76604.1350888327,62990.8908,66948.2753,67582.12260595651,70233.21734000006,54811.0900588096,67868.73970482039,64388.350725086326,67599.70291066852,68133.91904738962,68677.22570999996,70517.84001163903,52996.062008097986,65184.126277013085,67175.2854175282,63774.79763644993,56826.69670233404,61856.8439537359,8.85173262445719,3336.35280950514
North West and Merseyside,23478.3301,28487.6,16708,27019.42985900002,28379.222049000018,35461.25840900002,31335.471907999985,30747.223467000007,29995.548172400013,35987.7991424476,29654.8689,34510.182,35141.47411683601,36673.527221400036,28575.923214954,35517.52993663391,36042.17482018781,37314.11862926791,37139.720576219814,33740.92273599998,36049.04771909717,23337.990222618417,31059.29966820534,33805.10355330964,31780.937756768926,25987.37371531793,29075.9290327235,11.8848304997633,3995.61893155071
Yorkshire & The Humber,233590.685,257947.5,198868,246834.9681980003,232753.00820900037,250931.71952699948,236030.61753700042,228990.82612199933,226442.2164244998,261605.3046683005,222289.0998,241375.8515,248205.72512555608,255320.28589799997,207579.448427113,250445.97209787343,236817.33980701797,234960.99035346805,235867.6234702494,230182.79043699946,238143.72559419394,172547.52304267755,225371.38753122423,229818.21215184336,220362.74323164206,192136.78959254804,213390.128161078,11.0615664046435,6683.6798063099
East Midlands,361832.236,401204.2,318751,386563.2309319983,352308.0870699994,385047.9035720008,348118.8866109998,346159.93369399884,343655.4984001996,391434.9052814197,334863.672,362892.7401,368486.8582165052,376519.15114779974,307002.990688865,361799.3857084957,339775.556741209,335039.22119270207,319759.6837822864,317800.1161879913,330432.80274532136,227327.0582967834,336866.4819754163,332918.97523125197,312887.6369663178,269391.8638236963,298109.277809228,10.6600895728333,11484.619300113
West Midlands,149936.544,166891.9,126891,162589.43979600017,150321.6258759999,167133.09550099992,157341.8851260001,154081.49036100027,152958.49272899976,178366.0522216704,151420.9829,171136.2666,174111.01701421614,177757.03485940027,139894.617485969,171597.3303742601,159219.88406818933,163494.24160537697,162009.0875239258,160921.162003,166879.57886530034,112693.58686096012,164377.17984739417,163888.86664514666,153422.24083870213,135910.19612741438,149070.364075826,9.68298797543762,5679.43914161142
Eastern,489854.111,544756.5,451837,529269.0256669977,482213.975758999,513095.85958399985,487130.39538399794,474797.106125,471041.92436239985,536556.9086995195,464479.7246,502081.3768,504698.2359683486,513355.9079309997,427795.68458516,500420.1666226992,473889.719550852,467514.2750505134,455761.4588216562,443264.0073740006,456885.2102917924,384841.9929990816,456810.7285971272,462913.36835474806,440606.70739181305,397259.74798642617,426793.642982694,7.434404101086391,9586.66429482993
South East and London,242994.131,277447.8,207094,259710.0211340007,240347.43949800037,251127.39476699976,240560.14974800035,234822.5538210003,229153.54552140002,258267.9454116546,223155.0495,240969.5916,242761.02758797273,247380.25529799954,197406.2353798802,236795.31532822686,222394.37126123963,218760.18499286033,214198.52988081894,208967.95096600003,217172.86265949288,170768.02502494294,218688.32662541006,218592.21881117104,205035.04917216726,189088.3513853798,201013.538051744,6.30667440854627,7000.4437284288
South West,180965.047,203720.2,166170,193984.06353600076,174058.88339400047,191012.44429899997,179840.07528899994,173530.85207200024,172191.66795329997,195884.6160909724,164232.8216,171985.7184,175573.53936460847,178989.66844589982,141504.983087405,172285.55845368977,160411.6030262091,159034.26526513923,159272.97689744423,155316.8245860002,160751.93211316713,120598.79157793915,156509.46947832976,158849.96819949988,151747.88700613996,135344.98066688294,145827.115904849,7.74475358178605,7032.01945325445
Wales,12871.1,15361,10620,15288.1,14456,15423.1,14812,15524,12989,19600,19646,24347,25843,25614,15133,21486,21835,21410,21468.494807560877,22179,23352,21512,23223,26373,24801,22741,[x],[x],[x]
Scotland,84537,108880.69,79710,97192,87498,101126,95595,99681,102744,113797,92482,111435.77,115412.44,100637.3,86839.79999999999,109022.92,109562.3,109594,109488.6,99778.33,107479.68,93537.69,104570.81999999999,110187.4,107166.2,98055.127,[x],[x],[x]
Northern Ireland,3252,4989.6,4112,7235.3,7313,8634,8407,8720.3,9164.7,12104.6,10121.8,10894.6,11567.1,9394.8,7967.6,8497.8,7975.5,8615.6,8730.2,6845.1,8103.9,7004.429999999999,7733.93,8624.939999999999,8308.52,8029.039999999999,[x],[x],[x]
tonnes/hectare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
