Winter Barley,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29
hectares,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Areas (1),1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,% change 2025/2024,2025 confidence interval
United Kingdom,548038.7,588923.42,462323,545674.399738001,455175.9999989999,420433.63280599983,384234.36967399996,387603.71618400025,382933.798919656,416412.1527044515,403219.09900000005,382531.1962444999,358676.27074029995,384666.10715229984,309825.3701688,429023.080033,441566.4000199998,439441.10001500027,422846.88604344457,386674.53,452712.88,311576.52999999997,404892.63,435054.69,454578.7799999989,384227.4482993029,[x],[x],[x]
England,473547,510879.1,397953,469998.9997380011,386209.9999989999,350923.0628059998,321311.83967399993,322258.01618400024,318828.99891965603,345903.35270445154,346598.49900000007,320474.99724449986,298253.9957403,328796.0071522998,256899.0001688,363227.000033,375812.00001999986,375650.0000150003,360873.00010500016,335654.00000000006,387918,253279,345220,371723,390982.99999999895,325474.000000002,302144.027137135,-7.16799893781588,8883.0336
North East,26344.139445655073,33075.5,24809,30547.527218000003,26159.43385599999,24998.289054,24617.717544000017,25286.95233399999,25511.397792899985,27737.096320281278,26778.8126,27363.9092,25093.036341226987,27475.572505000026,21132.6159861684,29425.755151921603,29758.276119530714,28748.296636242892,29031.05011175527,27548.005207000035,29409.26724935829,20419.000038610444,24559.504075340003,26050.12240842544,26182.121279433046,21815.614683858712,20392.8885871782,-6.5215952761267,1408.86781698037
North West and Merseyside,20175.881252193376,20786,6822,17501.60961300002,14391.491006000004,15539.638263000004,13990.414993999992,14547.759134999978,14136.750905379993,16446.53505473044,15030.8137,14849.9809,13957.585863343715,14900.224138300002,10686.1700438487,16132.992107381551,17028.40962300503,16381.679933015652,15341.736060592486,12501.61365660001,16565.376845923416,9970.221552389576,13897.371385159999,15227.593701885939,15414.7221682226,12333.099093480607,12183.7014639712,-1.21135513772332,1788.76619162971
Yorkshire & The Humber,80572.53066497055,89205.7,70811,83458.10388500035,70341.62439599981,66252.32125700003,64139.55047000005,66274.0373680002,67784.57145145998,73538.7699589488,74996.3393,72223.6533,65995.79576932415,71821.9309589998,55205.0087893138,76954.2490931136,78940.51760810318,71043.63878012553,69014.40876458224,64102.53786900004,72063.60460026913,45061.52234714641,61078.98856435003,65262.41452728419,70022.65834563962,59167.71726487274,57433.014958998,-2.93183916173257,3351.7327857546
East Midlands,66773.55453186475,74413.7,61853,68501.06472000023,57271.31535800007,47845.587962999794,42673.88959199998,42189.923780000034,42664.95543891004,45868.9063446785,45645.3135,41215.302,38205.77162611976,41003.04527540005,32158.1071901999,46420.103860226984,48250.5852619681,49331.34004749457,44708.98865762211,42065.09675417981,52288.200809589864,24248.08816934245,48760.53520186001,56143.89176046935,59202.95900694663,47695.57498910838,45058.7085875824,-5.52853467460684,3960.06117082498
West Midlands,49816.783003545264,52355.4,33360,45609.692585999976,36913.66817599994,32205.25929899995,29977.402267000012,29326.539791000032,29539.283218099998,31280.436908618198,32124.499,29210.8151,26927.08717170792,29403.247043999985,22515.9875049571,33665.78201434669,35114.03245065498,35086.39525647865,32093.128241884464,30320.73542600004,34540.94389010359,20244.31818824816,29688.89628807,31776.514518174194,33591.380063579134,26767.811584339994,24778.2664674079,-7.4326028135076605,2401.35095671624
Eastern,113779.1367709828,121249.2,108951,115707.74751600057,94664.60011399988,85619.90811000002,77829.73548799995,78490.89011799992,75619.50590212006,81504.32412470669,82623.1149,72665.555,69431.33312619524,76905.85031430006,62527.2945862772,84091.95485538806,86928.0559870495,89774.5387472672,90561.91966542703,84071.24875500024,96133.09852939007,72300.59928397516,84426.66251348998,92619.36830975136,100184.01280674807,85067.5966528361,76509.6143660998,-10.060214022104901,4531.14921049245
South East and London,50446.06418860731,50525.3,39821,45425.00918899994,36808.17777500004,31689.524766,26714.90491099999,25533.50963399995,23899.374459530016,26414.915641372998,26596.7206,24940.4777,22971.17613405604,26244.807207,20327.977920176585,29832.87170114186,31715.74935211872,36415.13821023584,34628.244541630935,32329.87155100001,38479.18582748958,27264.54673542431,37041.7947345,36004.388125174315,37038.42586527127,31241.33085840479,26628.789730898,-14.764227389710799,2965.6377353903
South West,65638.91014218087,69268.3,51526,63248.245010999985,49659.689318000084,46772.53409400006,41368.22440799998,40608.40402400013,39673.15975125601,43112.3683511146,42802.8854,38005.3037,35672.21396802531,41041.314727799996,32345.8381938584,46703.295516879814,48076.37359757068,48868.97238914034,45493.52395650535,42714.890781219954,48438.32224787221,33770.70748836352,45766.247237160016,48638.70816013507,49346.720464161044,41385.254873098726,39159.0429749991,-5.37923930860387,3080.2990373206
Wales,10834.7,11085,6170,10519.7,9198,8643.2,7570,6985,6750,6748,6352,7279,8097,7731,4966,6580,6926,8132,7350.865938444362,7670,8253,7473,8482,9069,8898,9039,[x],[x],[x]
Scotland,58579,61757.92,55420,61234,55649,56348.37,51340.53,53762,52625,57612,45149,48009.998999999996,45476.975,42816.4,42694.47,52506.98,51807.8,48031,47508.72,37541.73,48802.48,43090.81,43246.25,45658.73,46358.06,42873.6882993009,[x],[x],[x]
Northern Ireland,5078,5201.4,2780,3921.7,4119,4519,4012,4598.7,4729.8,6148.8,5119.6,6767.2,6848.3,5322.7,5265.9,6709.1,7020.6,7628.1,7114.3,5808.8,7739.4,7733.719999999999,7944.38,8603.96,8339.72,6840.76,[x],[x],[x]
tonnes/hectare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
